donor,recipient,W
2434,1266,0.0377015055188954
2434,3176,0.0942113871499717
2434,2670,0.0891995469605839
2434,1439,0.0384012737937139
2434,2777,0.0454420769056045
2434,5234,0.179880494921756
2434,4915,0.0704566670575625
1930,2434,0.0406509583458243
1930,1266,0.318919548008564
1930,3176,0.198809568590608
1930,2670,0.0465578202231459
1930,1439,0.0200435950915488
1930,2777,0.0237185514862805
1930,5234,0.0210702378278171
1930,4915,0.00825291664948949
1266,2434,0.0377015055188954
1266,1930,0.318919548008564
1266,3176,0.184384830086004
1266,2670,0.0431797917568893
1266,1439,0.0185893209339345
1266,2777,0.0219976388293946
1266,5234,0.0195414750371189
1266,4915,0.00765412170509563
3176,2434,0.0942113871499717
3176,1930,0.198809568590608
3176,1266,0.184384830086004
3176,2670,0.107900945128693
3176,1439,0.04645240786165
3176,2777,0.0549693716369677
3176,5234,0.0488317228944828
3176,4915,0.0191267009984617
2670,2434,0.0891995469605839
2670,1930,0.0465578202231459
2670,1266,0.0431797917568893
2670,3176,0.107900945128693
2670,1439,0.177436398276826
2670,2777,0.209969036435163
2670,5234,0.0462339818068792
2670,4915,0.0181092022474679
1439,2434,0.0384012737937139
1439,1930,0.0200435950915488
1439,1266,0.0185893209339345
1439,3176,0.04645240786165
1439,2670,0.177436398276826
1439,2777,0.417016677972935
1439,5234,0.0199041794990741
1439,4915,0.00779618795595506
2777,2434,0.0454420769056045
2777,1930,0.0237185514862805
2777,1266,0.0219976388293946
2777,3176,0.0549693716369677
2777,2670,0.209969036435163
2777,1439,0.417016677972935
2777,5234,0.023553574300651
2777,4915,0.00922560471738961
5234,2434,0.179880494921756
5234,1930,0.0210702378278171
5234,1266,0.0195414750371189
5234,3176,0.0488317228944828
5234,2670,0.0462339818068792
5234,1439,0.0199041794990741
5234,2777,0.023553574300651
5234,4915,0.188791222734169
4915,2434,0.0704566670575625
4915,1930,0.00825291664948949
4915,1266,0.00765412170509563
4915,3176,0.0191267009984617
4915,2670,0.0181092022474679
4915,1439,0.00779618795595506
4915,2777,0.00922560471738961
4915,5234,0.188791222734169
779,52,0.171883557638072
779,391,0.182002862249391
779,657,0.0367290785382913
779,938,0.0192454426723767
779,2602,0.0234284548671642
52,779,0.171883557638072
52,391,0.467936390046596
52,657,0.016247457072751
52,938,0.00851340453149515
52,2602,0.0103637997435272
391,779,0.182002862249391
391,52,0.467936390046596
391,657,0.0172039939837724
391,938,0.00901461439075919
391,2602,0.0109739479623364
657,779,0.0367290785382913
657,52,0.016247457072751
657,391,0.0172039939837724
657,938,0.136979711240897
657,2602,0.166752359878466
938,779,0.0192454426723767
938,52,0.00851340453149515
938,391,0.00901461439075919
938,657,0.136979711240897
938,2602,0.397225359757535
2602,779,0.0234284548671642
2602,52,0.0103637997435272
2602,391,0.0109739479623364
2602,657,0.166752359878466
2602,938,0.397225359757535
2569,4258,0.258303117565963
4258,2569,0.258303117565963
6551,5310,0.421652657458446
5310,6551,0.421652657458446
3697,4594,0.297345955907815
4594,3697,0.297345955907815
271,2604,0.347869417353666
271,5694,0.112581236662658
2604,271,0.347869417353666
2604,5694,0.153859856065052
